,Title,Body,Stars,Rated,Date Posted,Time Posted,Name,userId,Clean_Text_Body
14,The person was very good on the phone,The person was very good on the phone.  Walked me through the policies and I got the correct one with no issues. Easy to work with. My photo is upside down why I do not know..LOL. Thanks,5, Excellent,3/9/2021,18:07:13+0,James McClellen,6,person good phone walk policy get correct issue easy work photo upside knowlol thanks
15,Easy and quick!,Easy to use and understand. Got my quote quickly and without any confusion or hassle.,5, Excellent,3/9/2021,02:03:52+0,customer,6,easy use understand get quote quickly confusion hassle
16,Easy  purchase,-,5, Excellent,3/7/2021,19:33:09+0,Ulysses Valencia,6,
17,very nice company,very nice company. I personally appreciate it.,5, Excellent,3/7/2021,17:59:00+0,tania Bhattacharjee,6,nice company personally appreciate
18,Not good for Costa Rica,We got this because it was recommended for our trip to Costa Rica saying that it would satisfy the requirements for their health pass and we were very happy that it was cheaper but they would not accept it after all and we ended up having to get the more expensive on top of this one and so far we have not been able to contact anyone about a refund.,1, Bad,3/6/2021,23:34:52+0,customer,6,get recommended trip costa rica say satisfy requirement health pas happy cheap accept end expensive far able contact refund
19,Very friendly apps still needs…,Very friendly apps still needs improvement in address data entry.,4, Great,3/6/2021,21:59:15+0,customer s.a.,6,friendly apps need improvement address data entry
20,easy 'convenient and not too expensive,-,5, Excellent,3/6/2021,11:51:14+0,customer,6,
21,Good.,Best customer service received.,5, Excellent,3/5/2021,16:40:25+0,HEMANT BALIJEPALLI,6,best customer service receive
22,Just bought the policy,"Just bought the policy. Haven't used it. So far, so good.",5, Excellent,3/5/2021,05:11:00+0,customer,6,bought policy far good
23,Very helpful thank you,-,5, Excellent,3/4/2021,23:24:34+0,customer,6,
24,It was very easy and quick to buy an…,It was very easy and quick to buy an insurance.,5, Excellent,3/3/2021,20:54:31+0,customer,6,easy quick buy insurance
25,Very easy to buy and compare.,-,5, Excellent,3/3/2021,20:30:34+0,Fernando T,6,
26,Fast and clear,-,5, Excellent,3/2/2021,23:55:05+0,customer Nonna,6,
27,Extremely easy to navigate the websiteExtremely easy to navigate the website. Took me no more than about four minutes to complete the application and get a response back. The price was reasonable. Hop,Extremely easy to navigate the website. Took me no more than about four minutes to complete the application and get a response back. The price was reasonable. Hopefully I won’t have to use it but if I do the services that I will receive from it have yet to be experienced,5, Excellent,3/2/2021,23:24:31+0,customer,6,extremely easy navigate website take minute complete application response price reasonable hopefully win  use service receive experienced
28,Quick response from the support team,"Quick response from the support team, easy to buy and compare insurances.",5, Excellent,3/2/2021,17:51:11+0,customer,6,quick response support team easy buy compare insurance
29,Just bought the insurance,Just bought the insurance. Very easy user friendly web site! Good rates.,5, Excellent,3/1/2021,04:09:14+0,customer,6,buy insurance easy user friendly web site good rate
30,Simple and straightforward,-,5, Excellent,2/28/2021,06:05:32+0,customer,6,
31,"Buying was simple, straight forward",Straight forward and informative.,5, Excellent,2/26/2021,18:52:11+0,customer,6,straight forward informative
32,Was easy to get it on line and also how…,Was easy to get it on line and also how to log in . Would’ve been better if had received a confirmation email.,5, Excellent,2/25/2021,18:11:30+0,customer,6,easy line log  well receive confirmation email
33,Excellent response for all my questions…and great purchasing experience,Excellent response for all my questions and continued guidance from Richa Jaiswal before I committed to purchase.The website Was one of easiest purchase experience ever given the complexity of purchasing travel medical insurance. I have not had and hope not to have medical claims so I cant for now give any opinion on claims management. Happy to recommend VisitorsCoverage,5, Excellent,2/25/2021,17:16:57+0,David,6,excellent response question continue guidance richa jaiswal commit purchasethe website easy purchase experience give complexity purchase travel medical insurance hope medical claim cant opinion claim management happy recommend visitorscoverage
34,Rating will be good if It gets me in…,Rating will be good if It gets me in Costa Rica,5, Excellent,2/25/2021,16:58:19+0,customer,6,rating good get costa rica
35,So easy and straightforward to…,So easy and straightforward to navigate! Details are easy to compare.,5, Excellent,2/25/2021,16:23:24+0,Ariane,6,easy straightforward navigate detail easy compare
36,Trawick International is an easy online…,Trawick International is an easy online travel insurance with very customer friendly ease of managing your policy. A very good company to deal with.,5, Excellent,2/25/2021,15:56:02+0,customer,6,trawick international easy online travel insurance customer friendly ease managing policy good company deal
37,Easy to use and affordable,Easy to use and affordable. Thank you,5, Excellent,2/25/2021,15:52:48+0,hay quá nhac,6,easy use affordable thank
38,Good Price !,Good price and quick application. I recommend them !,4, Great,2/24/2021,21:00:15+0,customer,6,good price quick application recommend
39,It is very simple process.,-,5, Excellent,2/24/2021,20:49:26+0,Venkat Palaparthi,6,
40,A little concerned that the site wasnt…,"A little concerned that the site wasnt a bogus site.......my honest opinion. Layout needs more reassuring strategies to make potential customer stay and purchase. I genuinely searched for other sites, but in the end pulled the trigger.",4, Great,2/24/2021,15:20:56+0,John Gray,6,little concerned site wasnt bogus site   my honest opinion layout need reassure strategy potential customer stay purchase genuinely search site end pull trigger
41,Easy to use and affordable,Easy to use and affordable. Thank you,5, Excellent,2/23/2021,17:11:26+0,customer,6,easy use affordable thank
42,PERFECT SERVICE,"A perfect platform to work with ! quick, clear, straight forward. I like very much. Perfect service aftersales.",5, Excellent,2/23/2021,14:36:31+0,GMX VLOG,6,perfect platform work quick clear straight forward like perfect service aftersales
43,The site is easy to navigate,The site is easy to navigate! I hope if my son needs it you will be there for him.Thanks,5, Excellent,2/22/2021,23:04:37+0,customer,6,site easy navigate hope son need himthanks
44,Extremely user-friendly website,"Excellent website, crystal clear instructions. Very easy to use. I called an agent with a few follow-up questions and also received clear, direct answers to my inquiries.",5, Excellent,2/22/2021,17:51:34+0,Hilary Abuhove,6,excellent website crystal clear instruction easy use call agent followup question receive clear direct answer inquiry
45,Very efficient and well explained,-,5, Excellent,2/21/2021,12:20:07+0,Alan Mullins,6,
46,It was easy to purchase the insurance,It was easy to purchase the insurance. All information on policy is given and explain. Very convenient.,5, Excellent,2/20/2021,14:19:50+0,customer,6,easy purchase insurance information policy give explain convenient
47,Worked!,Worked! I’m happy with the service,5, Excellent,2/19/2021,20:57:40+0,Jan Platovsky,6,work  happy service
48,Easy and simple online experience,-,5, Excellent,2/17/2021,06:31:48+0,customer,6,
49,Fast and essy!,-,5, Excellent,2/15/2021,18:31:05+0,customer,6,
50,Easy and fast.,-,5, Excellent,2/14/2021,21:02:33+0,Mikael & son,6,
51,Great COVID Cover,Easy to do and meant we are covered for COVID whilst in the USA!,5, Excellent,2/13/2021,02:09:14+0,Mark,6,easy meant cover covid whilst usa
52,It’s great,It’s great insurance company,5, Excellent,2/11/2021,19:15:36+0,Md yeasin Molla ,6, great insurance company
53,Simple and to the point,Simple and to the point. Rapid response to issue policy.,5, Excellent,2/10/2021,16:21:58+0,Terry,6,simple point rapid response issue policy
54,Other country visa debit cards,I wish I was able to use my home country visa debit card to make the purchase! I usually use it for purchasing anything in USA! Finally had to ask my friends in USA to make the purchase! I’m sure you could work on it! Thanks,4, Great,2/10/2021,08:28:19+0,customer,6,wish able use home country visa debit card purchase usually use purchase usa finally ask friend usa purchase  sure work thanks
55,It was a very easy experience to…,It was a very easy experience to identify and buy insurance for my family from India who are currently in US for a pleasure trip. Thanks for making the buying process simple and sending the policy documents promptly!!!!!,5, Excellent,2/9/2021,17:56:22+0,A N Bidkar,6,easy experience identify buy insurance family india currently pleasure trip thanks make buy process simple sending policy document promptly
56,Melissa Wilson was very helpful and…,Melissa Wilson was very helpful and professional. The information was easy to fill out and complete.  We hope are coverage will be adequate during our extended visit with family during COVID and we have a safe trip home to a Canada in mid April 2021.,5, Excellent,2/9/2021,01:53:56+0,customer,6,melissa wilson helpful professional information easy fill complete hope coverage adequate extend visit family covid safe trip home canada mid april 
57,Easy to maneuver site,Easy to maneuver site. Documents were sent quickly and accurately. Basically a seamless process. Very satisfied.,5, Excellent,2/6/2021,17:04:18+0,customer,6,easy maneuver site document send quickly accurately basically seamless process satisfy
58,Highly recommend this travel/health…,"Highly recommend this travel/health insurance company. Great deal and especially for you hikers, canyon-ers, parachuters, Safari-nerds, brief - adventure riders on holidays... great deal for any injuries sustained whilst on your holiday with your family..",5, Excellent,2/6/2021,08:27:42+0,Patrick Evrard Njundom,6,highly recommend travelhealth insurance company great deal especially hikers canyoners parachuter safarinerds brief adventure rider holiday  great deal injury sustain whilst holiday family
59,Very helpful and complete with…,Very helpful and complete with information.,5, Excellent,2/4/2021,20:26:03+0,customer,6,helpful complete information
60,Have  not received the policy,-,3, Average,2/4/2021,04:01:09+0,customer,6,
61,Excellent Customer Service,-,5, Excellent,2/2/2021,19:14:41+0,customer,6,
62,Staff (Melissa) was super helpful in…,"Staff (Melissa) was super helpful in assisting me with the right coverage as a new immigrant/ green card holder. Thanks, Melissa! Highly recommended.",5, Excellent,2/2/2021,00:21:54+0,customer,6,staff melissa super helpful assist right coverage new immigrant green card holder thanks melissa highly recommended
63,Quick and easy,I purchased policy for my parents it was Super easy and quick.,5, Excellent,2/1/2021,01:38:38+0,Aditi ,6,purchased policy parent super easy quick
64,Excellent and easy to understand.,-,5, Excellent,1/31/2021,18:39:47+0,customer,6,
65,Easy to use,"Easy to use, customer service is fast and responsive.",5, Excellent,1/29/2021,13:14:24+0,B. Nelson,6,easy use customer service fast responsive
66,I want to travel and visit beautiful…,I want to travel and visit beautiful city,5, Excellent,1/29/2021,05:42:42+0,Kim salo,6,want travel visit beautiful city
67,Health Insurance,The customer service person was extremely helpful to me. Thank you,5, Excellent,1/28/2021,19:55:41+0,Customer,6,customer service person extremely helpful thank
68,This was a very easy and friendly…,This was a very easy and friendly experience purchasing travel insurance especially during a stressful time in our ever changing world. Thank you for making this experience so seamless.,5, Excellent,1/28/2021,18:32:30+0,Sandra Y,6,easy friendly experience purchase travel insurance especially stressful time change world thank make experience seamless
69,"Amazing choice, but perhaps too much...","I love how comprehensive this site is when comparing different insurances, but even with the support they’ve done their best to provide- there’s too much choice! Alongside each individual’s circumstances being so unique it’s difficult to find the one policy that will include everything you need. I used the chat function which ultimately helped me select the insurance I purchased, but I still wonder if it was the best one for me. I really needed to speak to someone.",4, Great,1/28/2021,10:25:05+0,Claire,6,love comprehensive site compare different insurance support  best provide  choice alongside individual  circumstance unique  difficult find policy include need chat function ultimately help select insurance purchase wonder best need speak
70,Easy to get before my trip,-,4, Great,1/27/2021,20:28:47+0,Billie,6,
71,Perfect if you are traveling abroad,-,5, Excellent,1/27/2021,14:47:02+0,Enzo Sisti,6,
72,Very good service 👏,Very good service 👏 Barry,5, Excellent,1/25/2021,15:34:57+0,ustomer Barry Linzy ,6,good service  barry
73,Excellent,Easy to understand Value for moneyNumber of options for your travel needs,4, Great,1/25/2021,00:12:08+0,Randy,6,easy understand value moneynumber option travel need
74,Very easy,Very easy to compare and buy,5, Excellent,1/23/2021,19:12:19+0,Dear Customer,6,easy compare buy
75,Nice,"Nice, quick, and easy!",5, Excellent,1/23/2021,02:28:27+0,Daniela,6,nice quick easy
76,Easy to input information and the…,Easy to input information and the process is very fast.,5, Excellent,1/21/2021,22:51:26+0,customer,6,easy input information process fast
77,very easy and very cheap,-,5, Excellent,1/21/2021,16:30:45+0,customer,6,
78,Helpful and prompt customer service to…,Helpful and prompt customer service to allow me to buy with confidence. However at different stages of the process the website forgot my famoly's details so he to re-enter to get an accurate quote.,4, Great,1/20/2021,16:24:33+0,Jonathan,6,helpful prompt customer service allow buy confidence different stage process website forget famolys detail reenter accurate quote
79,Amazing customer service,I was having trouble finishing my transaction and Haleana Barraza was super patient and super helpful. Thank you.,5, Excellent,1/18/2021,19:14:25+0,Amy,6,trouble finish transaction haleana barraza super patient super helpful thank
80,It's very easy to use and safe also,-,5, Excellent,1/18/2021,15:48:05+0,Mr.Attitude,6,
81,Very convenient,Very convenient. I have been using this for 5 years,5, Excellent,1/15/2021,07:18:19+0,customer,6,convenient  year
82,Easy to use and compare options,Easy to use and compare options. Information is clear and checkout process works excellent.,5, Excellent,1/14/2021,23:25:57+0,J. Tomás Arenas,6,easy use compare option information clear checkout process work excellent
83,Very Satisfied,Quick and easy ! Professional service and great prices.Truly recommend them !,5, Excellent,1/14/2021,11:50:54+0,Lethabo,6,quick easy professional service great pricestruly recommend
84,Helpful customer service,"Customer service rep was able to answer all questions. Seems like a legit medical insurance. Purchased it. Hopefully dont have to use it, but if we do we are hoping they will cover the expenses.",5, Excellent,1/13/2021,17:01:52+0,customer,6,customer service rep able answer question like legit medical insurance purchase hopefully dont use hop cover expense
85,Great prices,-,5, Excellent,1/11/2021,17:36:55+0,Menzur Xalil,6,
86,This seemed like a great product and I…,"This seemed like a great product and I appreciated the partnership with Fitness Pro Travel. It was difficult to use on my tablet, the compare products feature and I was unable to respond to email inquiries for advice. I did my personal research and made the best selection I could. Wish more products were available for residents of NY...",4, Great,1/11/2021,15:50:23+0,customer,6,like great product appreciate partnership fitness pro travel difficult use tablet compare product feature unable respond email inquiry advice personal research best selection wish product available resident ny 
87,Wonderful service,-,5, Excellent,1/11/2021,14:19:49+0,Tulasee Rao Chintha,6,
88,Very good service,"Very good service, works like charm.",5, Excellent,1/9/2021,23:19:06+0,Michael Bever,6,good service work like charm
89,Awesome and thanks for the such a great…,Awesome and thanks for the such a great opportunity,5, Excellent,1/9/2021,16:44:08+0,Wani Nisar,6,awesome thanks great opportunity
90,How to get a print out,-,5, Excellent,1/8/2021,19:09:08+0,customer,6,
91,Incredible service,"Incredible service, easy and quick purchase of insurance, truly recommend them !",5, Excellent,1/8/2021,08:09:48+0,Ansel F,6,incredible service easy quick purchase insurance truly recommend
92,Quick and easy to buy the insurance…,Quick and easy to buy the insurance online. I received the documentation very quickly.,5, Excellent,1/6/2021,22:38:07+0,Manuel Ventura,6,quick easy buy insurance online receive documentation quickly
93,Excellent,Excellent. Thankyou,5, Excellent,1/6/2021,04:59:16+0,customer,6,excellent thankyou
94,Simple,"Simple, straightforward and pretty easy to understand. Good overall value from a recognized company.",5, Excellent,1/4/2021,21:37:49+0,Charles Bareither,6,simple straightforward pretty easy understand good overall value recognize company
95,Great service.,-,5, Excellent,1/4/2021,18:41:51+0,customer,6,
96,Quick with my claim,Got involved in an incident in Feb 2020. They were very professional in handling the claim and arranging for the payout. Thanks a lot!,5, Excellent,1/3/2021,20:49:45+0,Ari David,6,get involved incident feb  professional handling claim arrange payout thanks lot
97,Great,"Great, easy, cheap.",5, Excellent,1/3/2021,11:10:17+0,customer,6,great easy cheap
98,Good services,-,4, Great,1/3/2021,00:09:22+0,Tej Singh,6,
99,Quick and the Best,"Website is easily navigable, user-friendly. Quotes are applicable worldwide and may options to choose from excellent suppliers.",5, Excellent,1/2/2021,05:48:21+0,Philip Tan,6,website easily navigable userfriendly quote applicable worldwide option choose excellent supplier
100,Easy to find information and fill out…,Easy to find information and fill out the form!,5, Excellent,1/2/2021,5:21,Lila,6,easy find information fill form
101,It's a good company.,-,5, Excellent,1/1/2021,8:06,Muhammed Emin İnce,6,
102,Very simple and self explanatory,-,5, Excellent,1/1/2021,5:22,customer,6,
103,For Countries other than the USA,"For Countries other than the USA, you should not have the STATE filed mandatory.",4, Great,12/31/2020,19:46,WEBCLIENT,6,country usa state file mandatory
104,Great service,-,5, Excellent,12/31/2020,10:11,Gopi Maddineni,6,
105,Great Company!,"Great Company!It took 5 min to fill in out the application. I got a question - within 3 min I got an answer (live person!)We will travel in Mexico for couple of months  and were determined to get insurance to cover damned COVID, but practically all agencies set up age limit 65 or 69 years old - we are 70 - big problemAtlas was the only company to accept out application Price is great too! AlexCalgary, Canada",5, Excellent,12/29/2020,22:56,Alexander,6,great company take  min fill application get question  min get answer live person travel mexico couple month determine insurance cover damn covid practically agency set age limit   year old  big problematlas company accept application price great alexcalgary canada
106,It took time but great followup,They are slow but have great followup. They respond to query and follow up until resolved.,5, Excellent,12/29/2020,16:18,Amit,6,slow great followup respond query follow resolve
107,very simple and great coverage!!,-,5, Excellent,12/29/2020,2:57,DANIEL,6,
108,Fast purchase,"Within 30 minutes we had found, read on and purchased a good enough (we believe) health plan. It was easy to learn about what the plan covers and to purchase. The text was easy to learn. The buying was simple. The price is good. Thank you this far. We hope to get accepted at the AirPort in Cairo with this. //Jane Jarmo",4, Great,12/28/2020,20:37,Jarmo,6, minute find read purchase good believe health plan easy learn plan cover purchase text easy learn buying simple price good thank far hope accepted airport cairo jane jarmo
109,"Very good, recommend!","I've been purchasing insurance products thru VisitorsCoverage for at least 5 years by now, very happy with their services.",5, Excellent,12/28/2020,15:39,Mike Telis,6,purchase insurance product visitorscoverage  year happy service
110,Very Very Awesome,-,5, Excellent,12/28/2020,4:00,T S K NANDHU,6,
111,Easy to understand plan info and sign up,"Thanks, everything went smoothly, and everything was easy to understand and clear for me.",5, Excellent,12/27/2020,19:44,Jessie,6,thanks go smoothly easy understand clear
112,Thank you for the all the assistance,"Thank you for the all the assistance, Mr. Josiah Davallou, assisted me in answering all the necessary question I had regarding the insurance cover.It is service like this one will always remember and recommend to the next.",5, Excellent,12/27/2020,6:49,Alicia Croucamp,6,thank assistance mr josiah davallou assist answer necessary question insurance coverit service like remember recommend
113,its an amazing and very good for travel…,its an amazing and very good for travel health insurances,5, Excellent,12/25/2020,8:11,faisaljkhan,6,amaze good travel health insurance
114,Wonerful experience,-,5, Excellent,12/24/2020,6:18,Subhashnee Jayaraman,6,
115,It was a well organized web page and…,It was a well organized web page and the product meets our travel requirements.  Language is clear.,5, Excellent,12/23/2020,19:11,customer  Maria & Jim,6,organize web page product meet travel requirement language clear
116,"Thanks to Sabrina Do, answered all my questions promptly it all went very",Thanks to Sabrina Do it all went very well,4, Great,12/22/2020,23:37,Wayne Bukowicki,6,thanks sabrina go
117,Purchase was quick and easy,Purchase was quick and easy. Hope the service is like the purchase experience. Thanks.,5, Excellent,12/22/2020,22:40,Lubna Daraz,6,purchase quick easy hope service like purchase experience thanks
118,User friendly website,"User friendly website, easy to understand and has good options available.",5, Excellent,12/22/2020,15:04,Veronica Escobar,6,user friendly website easy understand good option available
119,Very easy web site to use,Very easy web site to use. Quick easy to get Insurance for international travel.,4, Great,12/22/2020,13:25,gregory,6,easy web site use quick easy insurance international travel
120,Everything was fast and clear,Everything was fast and clear! Wonderfull service!,5, Excellent,12/22/2020,9:40,customer,6,fast clear wonderfull service
121,I really appreciate your affordable…,I really appreciate your affordable medical insurance option for my sister.  This potential risk has bothered me for years until I read an article written by Forbes' Christopher Elliott.,5, Excellent,12/21/2020,19:15,Zhongtai Chen,6,appreciate affordable medical insurance option sister potential risk bother year read article write forbes christopher elliott
122,Fast and easy,-,5, Excellent,12/21/2020,18:38,customer,6,
123,Customer enrollment experience…,I can only hope the customer experience of filing and resolving a claim submission (if needed) is as easy and effective as the personal customer service I received when I applied for medical coverage.   The online enrollment capabilities were easy to follow.  Any questions I had were easily answered by an available customer service agent.,5, Excellent,12/20/2020,16:54,RJD,6,hope customer experience filing resolve claim submission need easy effective personal customer service receive applied medical coverage online enrollment capability easy follow question easily answer available customer service agent
124,Amazing user interface and very quick…,Amazing user interface and very quick issue of quote.,5, Excellent,12/20/2020,0:44,Jimit Bavishi,6,amaze user interface quick issue quote
125,Review of buying insurance,Easy to buy hope i do not need to use it and i hope they are the real deal if i need to use them.,5, Excellent,12/19/2020,10:42,Predrag Popovic,6,easy buy hope need use hope real deal need use
126,Quick and easy,-,5, Excellent,12/19/2020,5:05,Rish,6,
127,Simple,Easy process to complete.,5, Excellent,12/18/2020,18:37,KRIS JULIN,6,easy process complete
128,great for immigrants,"simple, easy and very clear. Got it because of immigration paperwork.",5, Excellent,12/18/2020,16:56,Ra Chel,6,simple easy clear get immigration paperwork
129,Fast and Easy!,-,5, Excellent,12/18/2020,12:45,Stoph,6,
130,Simple online experience with great support,"Buying the insurance online was very simple, I found all the documents I needed, and when I couldn’t find them, I was always able to speak with a very helpful agent.  My one suggestion would be that you allow more than 4 people on one policy, it was a hassle to have to go through the process two times just because we have a family of 5.",5, Excellent,12/17/2020,18:58,customer,6,buying insurance online simple find document need  find able speak helpful agent suggestion allow  people policy hassle process time family 
131,The process to review policies was…,The process to review policies was simple to navigate and purchasing the policy was also easy.,5, Excellent,12/17/2020,17:33,ColetteW,6,process review policy simple navigate purchasing policy easy
132,Excellent user friendly & rapid navigation platform,"Excellent platform, user friendly, comprehensive & clear, rapid navigation. Great experience",5, Excellent,12/17/2020,12:20,Georgios Papadakis,6,excellent platform user friendly comprehensive clear rapid navigation great experience
133,Quick and Easy!!!,-,5, Excellent,12/16/2020,19:59,customer,6,
134,Very quickly helped to figure it out,-,5, Excellent,12/16/2020,15:23,Derya,6,
135,very easy and practical helped a lot,-,5, Excellent,12/16/2020,3:04,Gabrielskred,6,
136,Couldn't be more easy and offering what…,Couldn't be more easy and offering just what I need.  Thank you.,5, Excellent,12/15/2020,23:01,Michele Estevez,6,easy offer need thank
137,It was very easy and available at good…,It was very easy and available at good premium,5, Excellent,12/15/2020,22:34,RPM,6,easy available good premium
138,Nice website and very helpful,-,5, Excellent,12/15/2020,17:30,customer,6,
139,Timesaver for perusing different travel health insurance options,"I needed last minute insurance coverage as a US citizen visiting the US from abroad with no insurance in the US and that had COVID-19 coverage. I was getting a bit dizzy with all the different plans, some stipulated that US citizens were ineligible, some have Covid exclusions... it was very time-consuming to find one that matched my needs. But a quick Google search brought me to this page where they narrowed the options for me based on what I needed, and was easily able to purchase the suitable plan.",5, Excellent,12/15/2020,11:39,customer,6,need minute insurance coverage citizen visit abroad insurance covid coverage get bit dizzy different plan stipulate citizen ineligible covid exclusion  timeconsuming find match need quick google search bring page narrow option base need easily able purchase suitable plan
140,It was easy to navigate through the…,"It was easy to navigate through the different coverage options. My husband and I travel to Tahiti in 2 weeks and we wanted to purchase insurance just incase we tested positive w while there, since we would be forced to quarantine. The prices were actually reasonable. I was able to print my cards and ready for our travel!",5, Excellent,12/15/2020,5:37,judyG,6,easy navigate different coverage option husband travel tahiti  week want purchase insurance incase test positive w force quarantine price actually reasonable able print card ready travel
141,Easy and quick and information rich,representative was patient and helpful until the line cut off accidentally. The wednesday is very user friendly for purchase purposes. Hopefully we will never have to use the policy!!,5, Excellent,12/14/2020,23:49,Lisa Warshaw,6,representative patient helpful line cut accidentally wednesday user friendly purchase purpose hopefully use policy
142,Very informative and easy process,-,5, Excellent,12/12/2020,19:20,customer,6,
143,Easy,"Easy, clear, and quick!",5, Excellent,12/12/2020,16:37,Mena,6,easy clear quick
144,Easy to get quote and select the right…,Easy to get quote and select the right plan,5, Excellent,12/12/2020,6:17,Prashant,6,easy quote select right plan
145,Easy to find the right insurance for my…,Easy to find the right insurance for my family.,5, Excellent,12/12/2020,4:50,Helen,6,easy find right insurance family
146,❤️❤️❤️❤️,❤️❤️❤️❤️ thank you so much,5, Excellent,12/11/2020,4:16,customer,6, thank
147,Very smooth process and very easy to…,Very smooth process and very easy to follow application.,5, Excellent,12/11/2020,3:35,customer,6,smooth process easy follow application
148,joseia was extremely helpful,joseia was extremely helpful; in answering my questions so that I could book the travel insurance right after our call,5, Excellent,12/10/2020,22:41,customer,6,joseia extremely helpful answer question book travel insurance right
149,Great!,Great customer service and pricing for peace of mind!,5, Excellent,12/10/2020,20:39,customer,6,great customer service price peace mind
150,Very easy and affordable..,-,5, Excellent,12/10/2020,20:08,customer,6,
151,Happy,Easy and fast to buy it.,5, Excellent,12/10/2020,18:31,customer,6,easy fast buy
152,Easy to buy great insurance from the…,"Easy to buy great insurance from the website, customer representatives are responsive and are patient to answer all question. I recommend this.",5, Excellent,12/10/2020,15:04,ugur,6,easy buy great insurance website customer representative responsive patient answer question recommend
153,Excellent Service,"I was happy to find Visitors Coverage online and found their process very easy.  I rang them twice to ascertain points about the offered coverage before traveling, and each time the representatives I spoke with were patient, helpful, and informative.  This company is also willing to call you no matter where you are located in the world, another point very appreciated from a customer's perspective.   I now feel safe to travel,  supported by a generous policy.",5, Excellent,12/10/2020,10:08,P Pecko Smith,6,happy find visitor coverage online find process easy rang twice ascertain point offer coverage travel time representative speak patient helpful informative company willing matter locate world point appreciate customer perspective feel safe travel support generous policy
154,Easy to use,"Easy to use, provide choices. Easy to buy product.",5, Excellent,12/10/2020,3:02,Rafael,6,easy use provide choice easy buy product
155,Very happy with the response to emails…,Very happy with the response to emails and the variety of insurance options.,5, Excellent,12/9/2020,20:51,Robin,6,happy response email variety insurance option
156,Great and convenient,"It was very easy to compare and find the coverage that I needed. I also called the number on the line to make sure everything was ok, the agent was so helpful and nice, he stayed on the line with me until my purchase was complete",5, Excellent,12/9/2020,15:44,customer,6,easy compare find coverage need call number line sure ok agent helpful nice stay line purchase complete
157,I don’t have my insurance yet and I…,I got the insurance and the customer service helped me and assisted me thank you,5, Excellent,12/9/2020,11:23,customer,6,get insurance customer service help assist thank
158,Good plans,"Good plans, the site is easy to use and the information is well formed !",5, Excellent,12/7/2020,12:14,Annmar,6,good plan site easy use information form
159,Intuitive,"Simple, intuitive, well-explained website.",5, Excellent,12/6/2020,12:04,Ruben Misrahi,6,simple intuitive wellexplained website
160,Simple and Effective plans,-,5, Excellent,12/6/2020,3:36,Valued Customer,6,
161,Easy to buy great insurance from the…,"Easy to buy great insurance from the website, customer representatives are responsive and are patient to answer all question. I recommend this.",5, Excellent,12/5/2020,18:19,Siddhartha Kejriwal,6,easy buy great insurance website customer representative responsive patient answer question recommend
162,Easy,Easy - straightforward - i am a returning customer.,5, Excellent,12/4/2020,20:52,Lori,6,easy straightforward return customer
163,Super,"Super, thank you!",5, Excellent,12/4/2020,14:45,customer,6,super thank
164,Very simple,"Very simple, quick, and easy to use!",5, Excellent,12/4/2020,0:13,Michael,6,simple quick easy use
